url,is_paid,course_by,title,skills,ratings,reviews,"level, type and duration"
https://www.coursera.org/learn/agriculture-economics-nature,FALSE,University of Western Australia,"Agriculture, Economics and Nature","Communication, Contract Management, Entrepreneurship, Leadership and Management, Marketing, Negotiation, Sales, Strategy, Strategy and Operations",4.7,(58 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/gestionar-personas,FALSE,IESE Business School,Claves para Gestionar Personas,"Epidemiology, Probability & Statistics",4.8,(751 reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/big-bang,FALSE,The University of Tokyo,From the Big Bang to Dark Energy,"Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Supply Chain and Logistics, Business Psychology, Organizational Development, Planning, Communication, Market Analysis, Marketing Management, Computer Programming, Programming Principles, Project Management, Research and Design",4.6,(572 reviews),Beginner · Course · 1-4 Weeks
https://www.coursera.org/learn/disability-inclusion-education,FALSE,University of Cape Town,Disability Inclusion in Education: Building Systems of Support,"Creativity, Innovation, Problem Solving, Research and Design",4.4,(34 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/discrete-optimization,FALSE,The University of Melbourne,Discrete Optimization,"Business Psychology, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development",4.7,(1.1k reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/large-marine-ecosystems,FALSE,University of Cape Town,Large Marine Ecosystems: Assessment and Management,"Operations Management, Strategy and Operations, Entrepreneurship, Planning, Supply Chain and Logistics, Marketing, Research and Design, Sales, Strategy, Finance, Financial Management, Innovation",4.5,(237 reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/mindware,FALSE,University of Michigan,Mindware: Critical Thinking for the Information Age,"Data Management, Databases, SQL, Statistical Programming, Bioinformatics, Probability & Statistics",4.6,(427 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/projects/introduction-microsoft-excel,FALSE,Coursera Project Network,Introduction to Microsoft Excel,"Business Analysis, Business Process Management, Entrepreneurship, Strategy and Operations, Process Analysis",4.6,(397 reviews),Intermediate · Guided Project · Less Than 2 Hours
https://www.coursera.org/learn/game-theory-2,FALSE,Stanford University,Game Theory II: Advanced Applications,"Business Psychology, Communication, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Culture, Organizational Development",4.8,(1.1k reviews),Advanced · Course · 1-3 Months
https://www.coursera.org/learn/exploring-renewable-energy,FALSE,University of Pennsylvania,Exploring Renewable Energy Schemes,"Entrepreneurship, Leadership and Management, Business Psychology, Human Resources, People Development, Research and Design",4.5,(86 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/teaching-character,FALSE,Relay Graduate School of Education,Teaching Character and Creating Positive Classrooms,"Business Psychology, Entrepreneurship, Resilience",4.6,(84 reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/excel-para-negocios,FALSE,Universidad Austral,Fundamentos de Excel para Negocios,"Mathematics, Mathematical Theory & Analysis, Applied Mathematics, Differential Equations, Calculus, Algorithms, Linear Algebra",4.7,(1.1k reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/stories-of-infection,FALSE,Stanford University,Stories of Infection,"Business Analysis, Critical Thinking, Data Analysis, Data Visualization, Design and Product, Entrepreneurship, Exploratory Data Analysis, Leadership and Management, Machine Learning, Mathematical Theory & Analysis, Mathematics, Probability & Statistics, Problem Solving, Product Lifecycle, Reinforcement Learning, Research and Design, Scientific Visualization, Strategy and Operations",4.9,(770 reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/disaster-preparedness,FALSE,University of Pittsburgh,Disaster Preparedness,"Business Analysis, Communication, Critical Thinking, Research and Design, Strategy and Operations, Writing",4.8,(320 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/introancientegypt,FALSE,University of Pennsylvania,Introduction to Ancient Egypt and Its Civilization,"Data Visualization, Geovisualization, Data Analysis, Journalism",4.7,(277 reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/art-activity,FALSE,The Museum of Modern Art,Art & Activity: Interactive Strategies for Engaging with Art,"Graph Theory, Mathematics, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design",4.7,(1.1k reviews),Mixed · Course · 1-4 Weeks
https://www.coursera.org/learn/microwave-antenna,FALSE,Eindhoven University of Technology,Microwave engineering and antennas,"Business Psychology, Computer Graphics, Entrepreneurship, Human Computer Interaction, Human Learning, Human Resources, Interactive Design, Leadership and Management, People Development",4.7,(1.4k reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/future-of-energy,FALSE,University of California San Diego,Our Energy Future,"Business Psychology, Culture, Leadership and Management, Data Visualization, Accounting, Accounting Software, Business Analysis, Data Analysis, Data Visualization Software, Interactive Data Visualization, Scientific Visualization",4.8,(520 reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/metagenomics,FALSE,Technical University of Denmark (DTU),Metagenomics applied to surveillance of pathogens and antimicrobial resistance,"Computer Networking, Network Model, Cryptography, Security Engineering, Network Security, Computer Architecture, Computer Graphics, Computer Programming, Human Computer Interaction, Network Architecture, Theoretical Computer Science, Virtual Reality, Web Development",4.8,(867 reviews),Mixed · Course · 1-4 Weeks
https://www.coursera.org/learn/algae,FALSE,University of California San Diego,Introduction to Algae,"Entrepreneurship, Business Psychology, Leadership and Management, Organizational Development, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",4.9,(1.7k reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/model-thinking,FALSE,University of Michigan,Model Thinking,"Decision Making, Entrepreneurship, Leadership and Management, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",4.8,(387 reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/supply-chain-management,FALSE,Korea Advanced Institute of Science and Technology(KAIST),Supply Chain Management: A Learning Perspective,"Business Analysis, Critical Thinking, Research and Design, Strategy and Operations, Business Psychology, Entrepreneurship, General Statistics, Human Learning, Leadership and Management, Probability & Statistics, Problem Solving",4.7,(1.7k reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/know-thyself-the-examined-life,FALSE,The University of Edinburgh,Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,"Communication, Business Psychology, Culture, Leadership and Management",4.8,(1.2k reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/transformation-global-food-system,FALSE,University of Copenhagen,Transformation of the Global Food System,"Computer Programming, Machine Learning, Probability & Statistics, Python Programming, Statistical Programming, Applied Machine Learning, Clinical Data Management, Data Management, Machine Learning Algorithms, Business Analysis, Computer Graphics, Computer Networking, Computer Vision, Data Analysis, Data Visualization, Deep Learning, General Statistics, Machine Learning Software, Natural Language Processing, Network Model, Process Analysis, Regression, Basic Descriptive Statistics, Bayesian Network, Data Analysis Software, Statistical Analysis, Statistical Machine Learning",4.7,(1.1k reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/programming-languages,FALSE,University of Washington,"Programming Languages, Part A","Design and Product, Entrepreneurship, Leadership and Management, Marketing, Product Lifecycle, Sales, Strategy, Strategy and Operations, Supply Chain and Logistics, Transportation Operations Management",4.8,(2.1k reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/know-thyself-the-unconscious,FALSE,The University of Edinburgh,Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,"Software Engineering, Software Testing",4.7,(249 reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel,FALSE,Coursera Project Network,Introduction to Data Analysis using Microsoft Excel,"Communication, Writing, Computational Logic, Mathematical Theory & Analysis, Mathematics, Theoretical Computer Science, Accounting, Algorithms",4.8,(465 reviews),Intermediate · Guided Project · Less Than 2 Hours
https://www.coursera.org/learn/costosparanegocios,FALSE,Universidad de Chile,Costos para los Negocios,"Computer Architecture, Computer Networking, Network Architecture, Communication, Mobile Development, Mobile Security, Network Model, Security Engineering",4.8,(611 reviews),Intermediate · Course · 1-3 Months
https://www.coursera.org/learn/operations-research-modeling,FALSE,National Taiwan University,Operations Research (1): Models and Applications,"Network Analysis, Strategy",4.4,(615 reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/diabetes,FALSE,University of Copenhagen,Diabetes - a Global Challenge,"Business Psychology, Entrepreneurship, Human Resources, Leadership and Management, Algorithms, Biostatistics, Feature Engineering, General Statistics, Leadership Development, Machine Learning, People Development, Probability & Statistics, Theoretical Computer Science",4.8,(742 reviews),Mixed · Course · 1-3 Months
https://www.coursera.org/learn/assessmentforlearning,FALSE,University of Illinois at Urbana-Champaign,Assessment for Learning,"Strategy and Operations, Supply Chain and Logistics, Brand Management, Forecasting, General Statistics, Marketing, Material Handling, Operations Research, Probability & Statistics, Regression, Research and Design, Supply Chain Systems",4.7,(210 reviews),Beginner · Course · 1-4 Weeks
https://www.coursera.org/learn/media-ethics-governance,FALSE,University of Amsterdam,Media ethics & governance,"Communication, Emotional Intelligence, Leadership and Management",4.5,(396 reviews),Intermediate · Course · 1-4 Weeks
https://www.coursera.org/learn/the-cycle,FALSE,"University of Maryland, College Park",The Cycle: Management of Successful Arts and Cultural Organizations,"Business Psychology, Culture, Leadership and Management, Critical Thinking",4.8,(5.7k reviews),Beginner · Course · 1-3 Months
https://www.coursera.org/learn/creativity-innovation,FALSE,The Pennsylvania State University,"Creativity, Innovation and Transformation","Probability & Statistics, Bioinformatics, Epidemiology, Applied Machine Learning, Biostatistics, Machine Learning, Research and Design",4.8,(431 reviews),Mixed · Course · 1-4 Weeks
https://www.coursera.org/learn/esl-reading,FALSE,University of London,Teaching EFL/ESL Reading: A Task Based Approach,"Business Psychology, Culture, Leadership and Management, Entrepreneurship, Human Learning, Human Resources, People Development",4.6,(119 reviews),Intermediate · Course · 1-3 Months
