title,url,is_paid,course_by,skills,cluster_predicted
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Systems Design,1
Positive Psychiatry and Mental Health,https://www.coursera.org/learn/positive-psychiatry,False,The University of Sydney, Theoretical Computer Science,1
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam,Computer Programming,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Python Programming,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Computational Thinking,5
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Computational Logic,5
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Business Analysis,5
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Critical Thinking,5
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Entrepreneurship,5
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Leadership and Management,5
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Problem Solving,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Programming Principles,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Research and Design,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Statistical Programming,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Strategy and Operations,4
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",https://www.coursera.org/learn/advanced-valuation-and-strategy,False,Erasmus University Rotterdam, Theoretical Computer Science,4
An Introduction to American Law,https://www.coursera.org/learn/american-law,False,University of Pennsylvania,Computer Programming,4
An Introduction to American Law,https://www.coursera.org/learn/american-law,False,University of Pennsylvania, Python Programming,4
An Introduction to American Law,https://www.coursera.org/learn/american-law,False,University of Pennsylvania, Statistical Programming,4
An Introduction to American Law,https://www.coursera.org/learn/american-law,False,University of Pennsylvania, Programming Principles,4
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva,Cloud API,4
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Cloud Computing,5
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Cloud Applications,5
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Cloud Platforms,5
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Cloud-Based Integration,5
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Software Architecture,4
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Software Engineering,4
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Theoretical Computer Science,4
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Communication,5
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Computer Programming,5
International Organizations Management,https://www.coursera.org/learn/international-organizations-management,False,University of Geneva, Computer Programming Tools,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden,Computational Thinking,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Computer Programming,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Algorithms,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Design and Product,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Human Computer Interaction,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Product Design,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Theoretical Computer Science,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, User Experience,4
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Entrepreneurship,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Journalism,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Leadership and Management,5
International Law in Action: the Arbitration of International Disputes,https://www.coursera.org/learn/arbitration-international-disputes,False,Universiteit Leiden, Other Programming Languages,4
